Tiempo,Susceptibles,Infectados,Removidos
2.88,0.9999048711806494,5.4645729605691675e-05,4.048308974504444e-05
2.89,0.9999033642845793,5.5601403814631336e-05,4.103431160629413e-05
2.9,0.9999018276263856,5.6577183218188834e-05,4.159519039644454e-05
2.91,0.9999002605318611,5.757353862643291e-05,4.2165929512637765e-05
2.92,0.999898662310025,5.8590952855246955e-05,4.2746737119900065e-05
2.93,0.999897032252673,5.962992105430003e-05,4.333782627283264e-05
2.94,0.999895369633915,6.069095104451888e-05,4.393941504062947e-05
2.95,0.9998936737096993,6.177456366535046e-05,4.455172663551853e-05
2.96,0.9998919437173233,6.288129313211386e-05,4.517498954472589e-05
2.97,0.9998901788749303,6.401168740374984e-05,4.580943766606507e-05
2.98,0.9998883783809915,6.51663085612862e-05,4.6455310447257224e-05
2.99,0.9998865414137736,6.634573319734736e-05,4.711285302909089e-05
3.0,0.9998846671307905,6.7550552817047e-05,4.778231639253356e-05
3.0100000000000002,0.9998827546682395,6.878137425061345e-05,4.846395750991052e-05
3.02,0.9998808031404216,7.003882007810889e-05,4.915803950027012e-05
3.0300000000000002,0.9998788116391443,7.13235290666147e-05,4.9864831789058315e-05
3.04,0.9998767792331075,7.263615662026785e-05,5.0584610272228973e-05
3.0500000000000003,0.9998747049672715,7.39773752435449e-05,5.1317657484920474e-05
3.06,0.9998725878622069,7.534787501820357e-05,5.2064262774833145e-05
3.0700000000000003,0.9998704269134252,7.674836409430488e-05,5.282472248044613e-05
3.08,0.99986822109069,7.817956919575227e-05,5.359934011421677e-05
3.09,0.9998659693373082,7.964223614079875e-05,5.438842655090985e-05
3.1,0.9998636705694007,8.113713037798732e-05,5.519230022120866e-05
3.11,0.9998613236751511,8.266503753800518e-05,5.6011287310764735e-05
3.12,0.999858927514033,8.42267640019479e-05,5.684572196484774e-05
3.13,0.9998564809160145,8.582313748650568e-05,5.7695946498762195e-05
3.14,0.999853982680739,8.745500764660069e-05,5.856231161420297e-05
3.15,0.9998514315766821,8.912324669602169e-05,5.944517662172659e-05
3.16,0.9998488263402837,9.08287500466199e-05,6.034490966952137e-05
3.17,0.9998461656750546,9.257243696664843e-05,6.126188797866467e-05
3.18,0.999843448250656,9.435525125884698e-05,6.21964980850619e-05
3.19,0.9998406727019528,9.617816195889279e-05,6.314913608826753e-05
3.2,0.9998378376280377,9.804216405485951e-05,6.412020790739538e-05
3.21,0.9998349415912272,9.994827922834657e-05,6.511012954433112e-05
3.22,0.9998319831160275,0.00010189755661796345,6.611932735446741e-05
3.23,0.9998289606880688,0.0001038910736058758,6.71482383251886e-05
3.24,0.9998258727530094,0.00010592993662814354,6.819731036233929e-05
3.25,0.9998227177154053,0.00010801528200960531,6.926700258491834e-05
3.2600000000000002,0.9998194939375475,0.00011014827682408848,7.035778562824782e-05
3.27,0.9998161997382633,0.00011233011978074957,7.147014195587405e-05
3.2800000000000002,0.999812833391682,0.00011456204213737686,7.260456618046614e-05
3.29,0.9998093931259644,0.00011684530864151406,7.376156539398607e-05
3.3000000000000003,0.9998058771219922,0.00011918121850029296,7.494165950741274e-05
3.31,0.9998022835120197,0.00012157110637989202,7.614538160031185e-05
3.3200000000000003,0.9997986103782838,0.00012401634343556852,7.737327828055246e-05
3.33,0.9997948557515721,0.00012651833837324343,7.862591005448078e-05
3.34,0.9997910176097483,0.00012907853854365073,7.990385170787191e-05
3.35,0.9997870938762318,0.00013169843107009664,8.12076926979903e-05
3.36,0.9997830824184318,0.0001343795440109092,8.253803755710031e-05
3.37,0.9997789810461344,0.00013712344755769466,8.389550630777948e-05
3.38,0.999774787509839,0.00013993175527055463,8.528073489039829e-05
3.39,0.9997704994990453,0.00014280612535145625,8.669437560314175e-05
3.4,0.9997661146404879,0.0001457482619569882,8.813709755496087e-05
3.41,0.9997616304963163,0.00014875991655177606,8.960958713185374e-05
3.42,0.9997570445622191,0.0001518428893038738,9.111254847688979e-05
3.43,0.999752354265492,0.00015499903052349244,9.264670398440344e-05
3.44,0.9997475569630446,0.0001582302421464723,9.421279480879769e-05
3.45,0.9997426499393476,0.00016153847926395326,9.581158138841226e-05
